model,variant,neighborhood,CI_coverage_flu_season,CI_coverage_off_season,CI_coverage_overall,Corr_flu_season,Corr_off_season,Corr_overall,MAE_flu_season,MAE_off_season,MAE_overall,MAPE_flu_season,MAPE_off_season,MAPE_overall,RMSE_flu_season,RMSE_off_season,RMSE_overall,target_kind,normalize,n_params,git_sha,kg_co2,kwh,runtime_s,mean_rank
gnn_corrbinary,post_covid,East Boston,92.0,89.47368421052632,90.9090909090909,0.2076025212059701,0.6994224811402002,0.2750321388223347,15.637479801177978,12.085338090595446,14.103600426153704,193.53187166575745,227.15990109736893,208.05306619304423,20.449336756835365,20.38458293918812,20.421400069618144,delta,train,4801,8dd9348,,,,17.666666666666668
gnn_multiedge_level,post_covid,East Boston,76.0,73.68421052631578,75.0,0.3295589070780624,0.7019846812681148,0.3873335737411137,16.49031307220459,13.081179116901598,15.018187046051024,215.1058215644964,253.73734776098416,231.78761696752517,21.315199761475263,21.187661251776458,21.26022017271952,level,train,4801,8dd9348,,,,18.666666666666668
gnn_multiedge_leaknorm,post_covid,East Boston,84.0,89.47368421052632,86.36363636363636,0.2159207603756399,0.7142945779355722,0.2773911474794897,17.493914489746093,12.990175585997733,15.549118144945664,175.62697794872625,230.83841927764647,199.4682821589418,22.976538954022033,22.19415371803428,22.642007562160597,delta,all,4801,8dd9348,,,,20.333333333333332
gnn_uniform,post_covid,East Boston,100.0,78.94736842105263,90.9090909090909,0.3388796537124481,0.7145191344277795,0.2908446463129799,15.280521450042723,15.8251675681064,15.515709546479313,188.9846831313125,277.56013401181804,227.233173284258,18.89685810505594,27.443777141160105,22.9808904446939,delta,train,4801,8dd9348,,,,18.333333333333332
gnn_geo,post_covid,East Boston,92.0,100.0,95.45454545454544,0.0238836005272137,0.6950076634840081,0.1822824468358249,24.54523319721222,16.416769893545855,21.0352149524472,305.98494560931647,270.11169537872536,290.4942239188339,33.82407272503904,28.877235425016544,31.782534219700484,delta,train,4801,8dd9348,,,,23.0
gnn_multiedge_covid_rsv_full,full,Fenway,96.0,100.0,97.67441860465117,0.534981399254136,0.3992415054659958,0.6191652012566566,4.24308650970459,1.8288447591993544,3.2324736839117008,43.941917970729854,91.4451696020127,63.82700004894129,5.729442810714062,2.1986041689719804,4.5944161212251275,delta,train,6337,8dd9348,,,,3.0
lstm,post_covid,Fenway,100.0,100.0,100.0,0.3686980158035548,0.0701080625520428,0.5081509205252851,4.107646926879883,2.852865801917182,3.5823897117792174,51.52949643005154,153.72202010805438,94.30776215572712,5.674092308958704,3.399041745221822,4.853303392891156,level,train,21390,8dd9348,,,,5.0
arima,exclude_covid,Fenway,100.0,100.0,100.0,0.3547678012477352,0.3685511465122982,0.502576609394132,3.9005482004330343,4.313255037947794,4.073309202183398,57.53025675003804,238.31429057119703,133.20729416354646,5.1431236076937275,4.694199693087549,4.960148639827641,level,none,,8dd9348,,,,5.333333333333333
gnn_multiedge_covid_rsv,post_covid,Fenway,100.0,100.0,100.0,0.5680852864525517,0.0955086320050908,0.5404200586518824,4.952514858245849,2.2518452770180173,3.8220020102900127,53.5444822615883,115.80028850659554,79.60505231763783,6.187729507320504,2.739066513188841,5.03994427788555,delta,train,6337,8dd9348,,,,4.666666666666667
arima,post_covid,Fenway,100.0,100.0,100.0,0.3620618978488706,0.4010256463459344,0.4983720755998109,3.9044945716873207,5.030796897978791,4.375969964088401,63.959060190261155,273.1089095217938,151.5101599104376,5.124540572602613,5.339130572196217,5.215443473332279,level,none,,8dd9348,,,,6.333333333333333
persistence,exclude_covid,Fenway,100.0,100.0,100.0,0.3651564932718542,0.3521225024546572,0.5109508342944459,5.0280000000000005,2.138888888888889,3.818604651162791,50.45811995381432,109.67464925012094,75.24643454296593,6.5669779960039465,3.0400109648925064,5.379720750079618,level,none,0,8dd9348,,,,6.0
persistence,post_covid,Fenway,100.0,100.0,100.0,0.3651564932718542,0.3521225024546572,0.5109508342944459,5.0280000000000005,2.138888888888889,3.818604651162791,50.45811995381432,109.67464925012094,75.24643454296593,6.5669779960039465,3.0400109648925064,5.379720750079618,level,none,0,8dd9348,,,,6.0
dualtopo_fullhistory,full,Fenway,80.0,100.0,88.37209302325581,0.1043065681026874,0.3634580207337783,0.3482996510658272,4.438319568634033,1.741545067893134,3.3094372194866803,41.04951110374584,94.60814362640626,63.469403787650215,6.906388929084265,2.0385936713658968,5.42873653513313,level,train,479905,8dd9348,,,,6.333333333333333
dualtopo_no_bg,post_covid,Fenway,100.0,100.0,100.0,0.5846120369375565,0.3528280249886414,0.6800417213429624,4.304841766357422,5.759080357021755,4.913592804309934,75.8860044362681,310.5045119607778,174.0984029349001,5.459265242295037,6.041412825382654,5.710181574361899,level,train,479905,8dd9348,,,,8.666666666666666
dualtopo,post_covid,Fenway,100.0,100.0,100.0,0.580387513054919,0.3486231832370271,0.7096110009613871,4.321066131591797,5.890203952789307,4.977914521860522,76.96441953753387,317.10719497452584,177.4893022786003,5.4674905554436215,6.176552363846539,5.774911069901642,level,train,479905,8dd9348,,,,9.666666666666666
gnn_multiedge_season_level,post_covid,Fenway,100.0,100.0,100.0,0.4510939012611945,0.2425829010867586,0.5713424773186735,5.5545135116577145,3.379540205001831,4.6440595693366475,70.97764899641406,179.1373223152256,116.25379131591656,7.22952043872059,5.145950788375083,6.439889706627719,level,train,4865,8dd9348,,,,11.333333333333334
lstm,exclude_covid,Fenway,100.0,100.0,100.0,0.2508784480803469,0.0910528425377302,0.3821966826390304,5.630913730621338,2.9450738430023193,4.50660866138547,63.288925847743094,161.51517749076766,104.40689165179992,7.73142949838461,4.026019875472509,6.444998242536587,level,train,21390,8dd9348,,,,11.0
gnn_multiedge_season,post_covid,Fenway,100.0,100.0,100.0,0.4837030048157977,0.2541985856646799,0.5679599991143984,6.2070466327667235,2.8736357026629977,4.81166531318842,67.89254671574767,151.9604741209035,103.08377214116172,7.897348775953887,4.2912013598399215,6.630904225088877,delta,train,4865,8dd9348,,,,12.0
