added_route_id,trip_id
742,74014606
743,74014606
741,74014636
742,74014636
743,74014636
741,74014650
742,74014650
743,74014650
741,74014666
742,74014666
743,74014666
741,74014669
742,74014669
743,74014669
741,74014680
742,74014680
743,74014680
741,74014716
742,74014716
743,74014716
741,73765757
742,73765757
743,73765757
741,73765767
742,73765767
743,73765767
741,73765876
742,73765876
743,73765876
741,73765880
742,73765880
743,73765880
741,73765906
742,73765906
743,73765906
741,73765908
742,73765908
743,73765908
741,73765933
742,73765933
743,73765933
741,73765996
742,73765996
743,73765996
741,73766027
742,73766027
743,73766027
741,73766072
742,73766072
743,73766072
741,73766087
742,73766087
743,73766087
741,73766097
742,73766097
743,73766097
741,73766105
742,73766105
743,73766105
741,73766138
742,73766138
743,73766138
741,73766170
742,73766170
743,73766170
741,73766172
742,73766172
743,73766172
741,73766192
742,73766192
743,73766192
741,73766248
742,73766248
743,73766248
741,73766263
742,73766263
743,73766263
741,73766265
742,73766265
743,73766265
741,73766273
742,73766273
743,73766273
741,73766277
742,73766277
743,73766277
741,73766296
742,73766296
743,73766296
741,73766331
742,73766331
743,73766331
741,73766349
742,73766349
743,73766349
741,73766355
742,73766355
743,73766355
741,73766385
742,73766385
743,73766385
741,73766388
742,73766388
743,73766388
741,73766390
742,73766390
743,73766390
741,73766392
742,73766392
743,73766392
741,73766393
742,73766393
743,73766393
741,73766394
742,73766394
743,73766394
741,73766397
742,73766397
743,73766397
741,73766398
742,73766398
743,73766398
741,73766401
742,73766401
743,73766401
741,73766402
742,73766402
743,73766402
741,73766404
742,73766404
743,73766404
741,73766406
742,73766406
743,73766406
741,73766685
742,73766685
743,73766685
741,73766704
742,73766704
743,73766704
741,73766715
742,73766715
743,73766715
741,73766765
742,73766765
743,73766765
741,73766808
742,73766808
743,73766808
741,73766844
742,73766844
743,73766844
741,73766875
742,73766875
743,73766875
741,73766910
742,73766910
743,73766910
741,73816290
742,73816290
743,73816290
741,73816294
742,73816294
743,73816294
741,73816300
742,73816300
743,73816300
741,73816301
742,73816301
743,73816301
741,73816303
742,73816303
743,73816303
741,73816310
742,73816310
743,73816310
741,73816312
742,73816312
743,73816312
741,73816313
742,73816313
743,73816313
741,73816315
742,73816315
743,73816315
741,73816317
742,73816317
743,73816317
89,73759942
93,73759942
89,73763773
93,73763773
89,73911318
93,73911318
89,73901452
93,73901452
19,73541953_1
201,73541953_2
19,73541954_1
201,73541954_2
32,73583750_1
32,73583750_2
10,73583933_1
16,73583933_2
8,73584048_1
66,73584048_2
8,73584048_2
66,73584048_3
66,73584058_1
57,73584058_2
66,73584058_2
57,73584058_3
57,73584128_1
39,73584128_2
19,73601209_1
201,73601209_2
19,73601210_1
201,73601210_2
39,74213834_1
38,74213834_2
39,74213837_1
39,74213837_2
39,74213838_1
39,74213838_2
39,74213839_1
39,74213839_2
39,74213840_1
39,74213840_2
39,74213842_1
39,74213842_2
39,74213843_1
39,74213843_2
36,74214347_1
36,74214347_2
36,74214492_1
34,74214492_2
21,74214525_1
21,74214525_2
32,74214611_1
23,74214611_2
37,74214814_1
37,74214814_2
38,74214875_1
38,74214875_2
39,74218412_1
38,74218412_2
39,74218415_1
38,74218415_2
39,74218416_1
39,74218416_2
39,74218417_1
39,74218417_2
39,74218418_1
39,74218418_2
39,74218420_1
39,74218420_2
39,74218421_1
39,74218421_2
36,74218925_1
34,74218925_2
34,74219070_1
32,74219070_2
21,74219103_1
21,74219103_2
23,74219189_1
22,74219189_2
37,74219392_1
36,74219392_2
