trip_id,trip_property_id,value
BasewUpdatedWalpoleTurns-773020-2089,trip_type,wait
BasewUpdatedWalpoleTurns-772981-1971,note,Waits at East Taunton for Train 2021
BasewUpdatedWalpoleTurns-772981-1971,trip_type,wait
BasewUpdatedWalpoleTurns-772987-1983,note,Waits at East Taunton for Train 2033
BasewUpdatedWalpoleTurns-772987-1983,trip_type,wait
BasewUpdatedWalpoleTurns-772989-1987,note,Waits at East Taunton for Train 2037
BasewUpdatedWalpoleTurns-772989-1987,trip_type,wait
BasewUpdatedWalpoleTurns-772991-1991,note,Waits at East Taunton for Train 2041
BasewUpdatedWalpoleTurns-772991-1991,trip_type,wait
BasewUpdatedWalpoleTurns-773017-2069,note,Waits at East Taunton for Train 1919
BasewUpdatedWalpoleTurns-773017-2069,trip_type,wait
BasewUpdatedWalpoleTurns-773012-2059,note,Waits at East Taunton for Train 1909
BasewUpdatedWalpoleTurns-773012-2059,trip_type,wait
BasewUpdatedWalpoleTurns-772994-2010,note,Waits at East Taunton for Train 1960
BasewUpdatedWalpoleTurns-772994-2010,trip_type,wait
BasewUpdatedWalpoleTurns-772995-2016,note,Waits at East Taunton for Train 1966
BasewUpdatedWalpoleTurns-772995-2016,trip_type,wait
BasewUpdatedWalpoleTurns-772998-2022,note,Waits at East Taunton for Train 1972
BasewUpdatedWalpoleTurns-772998-2022,trip_type,wait
BasewUpdatedWalpoleTurns-772999-2024,note,Waits at East Taunton for Train 1974
BasewUpdatedWalpoleTurns-772999-2024,trip_type,wait
BasewUpdatedWalpoleTurns-773000-2026,note,Waits at East Taunton for Train 1976
BasewUpdatedWalpoleTurns-773000-2026,trip_type,wait
BasewUpdatedWalpoleTurns-773001-2028,note,Waits at East Taunton for Train 1978
BasewUpdatedWalpoleTurns-773001-2028,trip_type,wait
BasewUpdatedWalpoleTurns-773003-2030,note,Waits at East Taunton for Train 1980
BasewUpdatedWalpoleTurns-773003-2030,trip_type,wait
BasewUpdatedWalpoleTurns-773005-2034,note,Waits at East Taunton for Train 1984
BasewUpdatedWalpoleTurns-773005-2034,trip_type,wait
BasewUpdatedWalpoleTurns-773007-2038,note,Waits at East Taunton for Train 1988
BasewUpdatedWalpoleTurns-773007-2038,trip_type,wait
BasewUpdatedWalpoleTurns-773009-2044,note,Waits at East Taunton for Train 1994
