route_pattern_id,route_id,direction_id,route_pattern_name,route_pattern_time_desc,route_pattern_typicality,route_pattern_sort_order,representative_trip_id,canonical_route_pattern
CR-Haverhill-6984317f-1,CR-Haverhill,1,Haverhill - North Station,,3,200071080,Base-772336-218,2
CR-Haverhill-db69d850-1,CR-Haverhill,1,Haverhill - Oak Grove via Reading,,3,200071090,TowerAZone1WKND-788006-5208,2
CR-Haverhill-16bf0fac-1,CR-Haverhill,1,Haverhill - North Station via Reading,,3,200071130,Base-772351-266,2
CR-Haverhill-dcfde8e9-1,CR-Haverhill,1,Lawrence - North Station via Reading,,3,200071150,Base-772332-202,2
CR-Kingston-5caee635-0,CR-Kingston,0,South Station - Kingston,,1,200080000,canonical-CR-Kingston-C1-0,1
CR-Kingston-515864bc-0,CR-Kingston,0,South Station - Kingston,,2,200080020,BasewUpdatedWalpoleTurns-774172-1019,2
CR-Kingston-e76fd7be-0,CR-Kingston,0,South Station - Kingston,,3,200080040,BasewUpdatedWalpoleTurns-774180-1009,2
CR-Kingston-7014db43-0,CR-Kingston,0,Braintree - Kingston,,3,200080050,BasewUpdatedWalpoleTurns-774196-1047,2
CR-Kingston-1c296541-1,CR-Kingston,1,Kingston - South Station,,1,200081000,BasewUpdatedWalpoleTurns-774176-1024,2
CR-Kingston-6cec404d-1,CR-Kingston,1,Kingston - South Station,,2,200081020,canonical-CR-Kingston-C1-1,1
CR-Kingston-35bb26b3-1,CR-Kingston,1,Kingston - Braintree,,3,200081040,BasewUpdatedWalpoleTurns-774186-1002,2
CR-Lowell-edb39c7b-0,CR-Lowell,0,North Station - Lowell,,1,200090000,canonical-CR-Lowell-C1-0,1
CR-Lowell-1d1d718f-0,CR-Lowell,0,Anderson/Woburn - Lowell,,3,200090040,TowerAZone1WKND-783294-5393,2
CR-Lowell-305fef81-1,CR-Lowell,1,Lowell - North Station,,1,200091000,canonical-CR-Lowell-C1-1,1
CR-Lowell-19179dd9-1,CR-Lowell,1,Lowell - Anderson/Woburn,,2,200091020,TowerAZone1WKND-783296-5374,2
CR-Needham-a6552e0a-0,CR-Needham,0,South Station - Needham Heights,,1,200110000,BasewUpdatedWalpoleTurns-772695-617,2
CR-Needham-69669b59-0,CR-Needham,0,South Station - Needham Heights,,3,200110020,BasewUpdatedWalpoleTurns-772698-625,2
