date,site,eff,smooth,site_latest_val,site_latest_lab
2026-04-15,East Boston,11.637473525332496,32.08163180733392,NA,NA
2026-04-20,East Boston,8.520380183691632,13.661907436587427,NA,NA
2026-04-22,East Boston,3.4607068379637957,7.74635404468742,NA,NA
2026-04-26,East Boston,0,0,NA,NA
2026-04-29,East Boston,1.7547947630363367,1,NA,NA
2026-05-03,East Boston,0,0,NA,NA
2026-05-06,East Boston,0,0,NA,NA
2026-05-10,East Boston,0,1.2778294433104462,NA,NA
2026-05-13,East Boston,0,3.0073510770358562,NA,NA
2026-05-17,East Boston,4.302064006542664,4.03555747147108,NA,NA
2026-05-20,East Boston,0,4.083738708191276,NA,NA
2026-05-25,East Boston,0,3.3249900559536854,NA,NA
2026-05-27,East Boston,8.201392682020973,2.8879739226089276,NA,NA
2026-05-31,East Boston,9.38000731768125,2.1527884903605132,NA,NA
2026-06-03,East Boston,0.6464467361782624,2.0108694063529176,NA,NA
2026-06-07,East Boston,0,2.594793736905258,NA,NA
2026-06-10,East Boston,0,3.240294604832256,NA,NA
2026-06-14,East Boston,1.1981021119541833,3.6818538580969453,NA,NA
2026-06-17,East Boston,0,3.2242472809839393,NA,NA
2026-06-21,East Boston,11.78706438624026,1.3429555998440081,NA,NA
2026-06-24,East Boston,0,0,NA,NA
2026-06-28,East Boston,0,0,NA,NA
2026-06-30,East Boston,0,0,NA,NA
2026-07-05,East Boston,0,4.58939345729566,NA,NA
2026-07-08,East Boston,0,7.201560897072134,NA,NA
2026-07-12,East Boston,11.263409015695231,8.792117082045896,NA,NA
2026-07-15,East Boston,20.429896278228338,7.727356573858283,NA,NA
2026-07-19,East Boston,0,4.875615811643127,NA,NA
2026-07-22,East Boston,0,3.338233378544273,NA,NA
2026-07-26,East Boston,4.9967611534213106,3.6334742973936067,NA,NA
2026-07-29,East Boston,2.4325155755042718,4.675240851268854,NA,NA
2026-08-02,East Boston,8.54572982875675,5.215970108273041,NA,NA
2026-08-05,East Boston,2.294572360177942,5.215970108273041,5.215970108273041,East Boston: 5
2022-10-02,Hyde Park,207.4762252257544,363.3397687013344,NA,NA
2022-10-05,Hyde Park,164.04401255657135,1,NA,NA
2022-10-09,Hyde Park,35.14396662890986,275.7823691199612,NA,NA
2022-10-12,Hyde Park,83.0435003128783,932.2284087378124,NA,NA
2022-10-16,Hyde Park,2618.3980993007362,1136.4367759341833,NA,NA
2022-10-19,Hyde Park,347.3698058813885,892.5290112121568,NA,NA
2022-10-23,Hyde Park,85.74062643294745,410.10638402749026,NA,NA
2022-10-26,Hyde Park,71.31185663014813,149.94729338328176,NA,NA
2022-10-30,Hyde Park,353.74233674103266,1.6614216813905853,NA,NA
2022-11-02,Hyde Park,77.04294353118986,27.09076285419467,NA,NA
2022-11-06,Hyde Park,234.47958668677273,209.63811987514114,NA,NA
2022-11-09,Hyde Park,100.75574860203021,401.3836556277247,NA,NA
2022-11-13,Hyde Park,199.77344156282305,637.4806805552929,NA,NA
2022-11-16,Hyde Park,1705.7199950017323,736.6917866997153,NA,NA
2022-11-20,Hyde Park,220.8897733485733,705.2051848283193,NA,NA
2022-12-04,Hyde Park,129.7652309972783,68.97009111654292,NA,NA
2022-12-07,Hyde Park,240.2020841122934,51.536168466188975,NA,NA
2022-12-11,Hyde Park,167.39303367796492,187.90335622089572,NA,NA
2022-12-18,Hyde Park,568.2968099298366,642.665093967982,NA,NA
2022-12-21,Hyde Park,165.3005698467442,817.2385851882023,NA,NA
2022-12-28,Hyde Park,1701.998963166237,986.5943051087223,NA,NA
2023-01-04,Hyde Park,1239.9488499158585,893.9124288402696,NA,NA
2023-01-08,Hyde Park,573.8597376639691,770.0289204063753,NA,NA
2023-01-11,Hyde Park,175.41254762224816,660.6126091774862,NA,NA
2023-01-15,Hyde Park,180.24910278284605,509.67903194258247,NA,NA
2023-01-18,Hyde Park,978.2330538009217,401.619448542634,NA,NA
2023-01-29,Hyde Park,129.6626991831484,154.1529332205534,NA,NA
2023-02-01,Hyde Park,25.652387038520036,152.89074249739616,NA,NA
2023-02-05,Hyde Park,236.29335869959445,186.97536590902806,NA,NA
