model,variant,neighborhood,CI_coverage_flu_season,CI_coverage_off_season,CI_coverage_overall,Corr_flu_season,Corr_off_season,Corr_overall,MAE_flu_season,MAE_off_season,MAE_overall,MAPE_flu_season,MAPE_off_season,MAPE_overall,RMSE_flu_season,RMSE_off_season,RMSE_overall,target_kind,normalize,n_params,git_sha,kg_co2,kwh,runtime_s,mean_rank
lstm,post_covid,Hyde Park,92.0,100.0,95.55555555555556,0.8368401393582006,0.6078923902507113,0.8602396577196373,9.267586776733395,4.834018821716309,7.297112130059136,54.15662629353986,124.14307670316832,85.26171536448587,14.18486668787532,5.529102217511882,11.196904830704849,level,train,22300,5bc3803,2.1653940673612073e-06,5.860764027036366e-06,0.43506395805161446,1.6666666666666667
arima,exclude_covid,Hyde Park,96.0,100.0,97.77777777777776,0.8072920602111587,0.4732448086641331,0.8299228312676635,9.791744086027744,4.7502160308905275,7.551064950411204,56.58644231190251,118.90060057939344,84.2816237641207,14.397662366597563,6.147880892317351,11.487428713246022,level,none,,5bc3803,0.001490005379470648,0.0040327855607057836,299.3411083329702,4.0
arima,post_covid,Hyde Park,96.0,100.0,97.77777777777776,0.8081886970848307,0.4653456056063479,0.8294614789785079,9.77948078204292,5.140958467509591,7.717915308916997,57.48479437912562,132.7346053536512,90.9291548122481,14.364452532604288,6.4768735243338655,11.544537166065826,level,none,,5bc3803,0.0002556865749649534,0.0006920304730384992,51.36729262501467,4.333333333333333
persistence,exclude_covid,Hyde Park,92.0,100.0,95.55555555555556,0.8103907100187919,0.4993592064155358,0.8344063895946338,10.44,3.685,7.437777777777779,53.55288584025397,60.54347826086956,56.65981580497201,14.962833956172874,5.743039265058179,11.79153180134889,level,none,0,5bc3803,1.286735082694529e-07,3.482622769984624e-07,0.02589108399115503,4.333333333333333
persistence,post_covid,Hyde Park,92.0,100.0,95.55555555555556,0.8103907100187919,0.4993592064155358,0.8344063895946338,10.44,3.685,7.437777777777779,53.55288584025397,60.54347826086956,56.65981580497201,14.962833956172874,5.743039265058179,11.79153180134889,level,none,0,5bc3803,1.0930826783819627e-07,2.958491360348287e-07,0.02199162496253848,4.333333333333333
gnn_multiedge_covid_rsv,post_covid,Hyde Park,96.0,100.0,97.77777777777776,0.8487631663289392,0.603094678623507,0.8440396565191683,10.88772134780884,6.809772551059723,9.075299660364786,73.00682074052638,116.67054799355884,92.41292174187416,13.632177700224728,9.844330123568104,12.096026374988163,delta,train,6370,5bc3803,2.089974154706508e-05,5.656635680297364e-05,4.198774707969278,5.666666666666667
lstm,exclude_covid,Hyde Park,92.0,100.0,95.55555555555556,0.8093371137557694,0.5842905756394552,0.8409670844619833,10.616988800048828,4.098822593688965,7.720026041666666,59.40395404980103,101.97835784027542,78.32591129001189,15.75588756758648,4.689032060315734,12.152677125559192,level,train,22300,5bc3803,3.6014595815701175e-06,9.747558229072537e-06,0.7235642919549718,5.333333333333333
gnn_multiedge_leaknorm,post_covid,Hyde Park,100.0,95.0,97.77777777777776,0.8779885705743108,0.6218386136653901,0.8647638267232062,11.559897289276122,7.441677701473236,9.72957747247484,73.59195577148947,99.03961230851507,84.90202534350085,14.890873494790306,12.18471316240976,13.754027719544752,delta,all,4834,5bc3803,1.769154712003047e-05,4.788319341340361e-05,3.5542516669956967,8.333333333333334
gnn_multiedge_covid_rsv_full,full,Hyde Park,96.0,90.0,93.33333333333331,0.8392206716444839,0.6253414531513903,0.8480849755769743,14.071599903106687,6.408469688892365,10.665764252344768,87.98335672939068,86.25029451022293,87.21310685420502,16.94760833405346,10.332494824897967,14.388069666098616,delta,train,6370,5bc3803,4.170956533715911e-05,0.0001128893460067694,8.379447750048712,10.0
dualtopo_fullhistory,full,Hyde Park,80.0,100.0,89.13043478260869,0.71393655864,0.5933726013252593,0.7498486677404245,13.3577392578125,5.515302703494117,9.777496483014977,73.3488678251051,144.36468642191116,105.76913283669047,19.29237787242059,5.869370596821938,14.765070292803854,level,train,479905,5bc3803,0.0003761414580371674,0.0010180485665723,75.56665566598531,8.666666666666666
