model,variant,horizon,indicator,season,level,label,threshold,n_weeks,onset_actual,onset_pred,onset_error_weeks,lead_time_weeks,first_alert_week,peak_week_actual,peak_week_pred,peak_week_error_weeks,peak_actual,peak_pred,peak_error,series
arima,post_covid,4,NE Suburban,2025-26,0.5,IT50,27.312493683860776,44,2025-12-21,2026-01-18,4.0,-4.0,2026-01-18,2025-12-21,2026-01-18,4.0,50.562507900391864,29.75255390407229,-20.809953996319575,arima
arima,post_covid,4,NE Suburban,2025-26,0.9,IT90,41.22759712033061,44,2025-12-21,,,,,2025-12-21,2026-01-18,4.0,50.562507900391864,29.75255390407229,-20.809953996319575,arima
arima,post_covid,4,NE Suburban,2025-26,0.98,IT98,53.6511443833241,44,,,,,,2025-12-21,2026-01-18,4.0,50.562507900391864,29.75255390407229,-20.809953996319575,arima
arima,post_covid,4,Northland,2024-25,0.5,IT50,56.127661353876796,9,,,,,,2025-07-06,2025-06-22,-2.0,20.79029093413376,33.62593627184937,12.835645337715608,arima
arima,post_covid,4,Northland,2024-25,0.9,IT90,89.91407794411414,9,,,,,,2025-07-06,2025-06-22,-2.0,20.79029093413376,33.62593627184937,12.835645337715608,arima
arima,post_covid,4,Northland,2024-25,0.98,IT98,121.54516325409915,9,,,,,,2025-07-06,2025-06-22,-2.0,20.79029093413376,33.62593627184937,12.835645337715608,arima
arima,post_covid,4,Northland,2025-26,0.5,IT50,56.127661353876796,44,2025-12-14,,,,,2026-01-04,2026-02-01,4.0,87.05934328668512,55.268998942262165,-31.790344344422955,arima
arima,post_covid,4,Northland,2025-26,0.9,IT90,89.91407794411414,44,,,,,,2026-01-04,2026-02-01,4.0,87.05934328668512,55.268998942262165,-31.790344344422955,arima
arima,post_covid,4,Northland,2025-26,0.98,IT98,121.54516325409915,44,,,,,,2026-01-04,2026-02-01,4.0,87.05934328668512,55.268998942262165,-31.790344344422955,arima
arima,post_covid,4,UA/Grandview,2024-25,0.5,IT50,8.143164584776198,9,,,,,,2025-07-06,2025-06-29,-1.0,5.691908383042667,3.824051097383392,-1.8678572856592748,arima
arima,post_covid,4,UA/Grandview,2024-25,0.9,IT90,16.706142473783938,9,,,,,,2025-07-06,2025-06-29,-1.0,5.691908383042667,3.824051097383392,-1.8678572856592748,arima
arima,post_covid,4,UA/Grandview,2024-25,0.98,IT98,26.455007113900507,9,,,,,,2025-07-06,2025-06-29,-1.0,5.691908383042667,3.824051097383392,-1.8678572856592748,arima
arima,post_covid,4,UA/Grandview,2025-26,0.5,IT50,8.143164584776198,44,2025-12-07,2026-01-04,4.0,-4.0,2026-01-04,2025-12-07,2026-01-25,7.0,15.937343472519466,9.937736695595742,-5.999606776923724,arima
arima,post_covid,4,UA/Grandview,2025-26,0.9,IT90,16.706142473783938,44,,,,,,2025-12-07,2026-01-25,7.0,15.937343472519466,9.937736695595742,-5.999606776923724,arima
arima,post_covid,4,UA/Grandview,2025-26,0.98,IT98,26.455007113900507,44,,,,,,2025-12-07,2026-01-25,7.0,15.937343472519466,9.937736695595742,-5.999606776923724,arima
arima,post_covid,4,West,2024-25,0.5,IT50,73.15037971354549,9,,,,,,2025-06-01,2025-06-22,3.0,26.185844680532696,33.18971261255871,7.0038679320260115,arima
arima,post_covid,4,West,2024-25,0.9,IT90,114.1022318647041,9,,,,,,2025-06-01,2025-06-22,3.0,26.185844680532696,33.18971261255871,7.0038679320260115,arima
arima,post_covid,4,West,2024-25,0.98,IT98,151.63555393306305,9,,,,,,2025-06-01,2025-06-22,3.0,26.185844680532696,33.18971261255871,7.0038679320260115,arima
