model,variant,neighborhood,CI_coverage_flu_season,CI_coverage_off_season,CI_coverage_overall,Corr_flu_season,Corr_off_season,Corr_overall,MAE_flu_season,MAE_off_season,MAE_overall,MAPE_flu_season,MAPE_off_season,MAPE_overall,RMSE_flu_season,RMSE_off_season,RMSE_overall,target_kind,normalize,n_params,git_sha,mean_rank
xgboost_nodemo,post_covid,MORÓN,100.0,100.0,100.0,0.6900257824691395,0.3370901703554869,0.7593147256872529,6.786448333327479,6.487491715698623,6.634149679063723,28.300455802229543,63.43846250331947,46.20094978203007,9.701814604857397,7.633951046957001,8.70993794159455,climatology,,,,7.333333333333333
dualtopo,post_covid,MORÓN,96.15384615384616,81.48148148148148,88.67924528301887,0.2782659182168072,0.2658461556014442,0.6786756009093886,8.869007404033955,6.610895368787977,7.71864844268223,39.22437319228032,53.164509545399795,46.3259520891525,10.703449498970468,7.847894794000788,9.358252168531116,level,train,479905,,8.333333333333334
seasonal_naive,post_covid,MORÓN,100.0,100.0,100.0,0.615894796162591,0.0313503974054419,0.7197654948123408,13.785081406305927,5.748192702233218,9.69081734951417,51.88298089730496,51.91532097144537,51.899456029414225,19.404612196330874,7.423979582730991,14.587492124490344,level,none,0,,8.333333333333334
gnn_st,post_covid,QUILMES,100.0,96.29629629629628,98.1132075471698,0.6535516077675145,0.7318398282873803,0.8522212516975424,4.073451775770921,3.4800574161388256,3.771156535958344,16.46743370518848,23.63102284545075,20.116809304944734,5.273892151038044,5.388774158577491,5.332726206594375,blend,train,15726,,1.6666666666666667
arima,post_covid,QUILMES,100.0,96.29629629629628,98.1132075471698,0.6445865061730909,0.6940886459371827,0.8362423128256564,4.071666184663304,3.3315276240848535,3.6946144651233386,15.647322128548968,22.68310472167949,19.231588732596595,5.031936091995189,5.685001698956381,5.374554827101772,level,none,,,2.0
persistence,post_covid,QUILMES,100.0,96.29629629629628,98.1132075471698,0.6121354099316008,0.7080112163107303,0.8269220289440952,4.268842079925596,3.631248312653637,3.9440301607493153,16.160626807990024,24.723986173880427,20.5230929000474,5.450963149625812,5.731328542971909,5.595546420018982,level,none,0,,3.3333333333333335
gat,post_covid,QUILMES,100.0,96.29629629629628,98.1132075471698,0.7687981444058609,0.5126926916894381,0.8251976382591945,3.171223713801457,4.626337952084011,3.9125083257567206,11.226998841609891,28.080120905039703,19.812551590904327,4.439057555123294,6.984033734877878,5.874967147379454,level,,8129,,4.666666666666667
xgboost,post_covid,QUILMES,100.0,100.0,100.0,0.2165315679049601,0.63117888185866,0.707980947876652,6.344904440002647,4.04145410745405,5.171448610213738,23.51460511531297,26.299625500710683,24.93338908523256,7.419129155891743,6.347209287134826,6.893914718949018,climatology,,,,6.0
xgboost_nodemo,post_covid,QUILMES,100.0,100.0,100.0,0.3203335438974648,0.6419251392867779,0.7568114072472405,6.230837291799663,4.774086334674504,5.488718879679299,24.95740962341088,30.811574245902563,27.93971990279344,7.2944415921137296,6.97025465806701,7.131131564411261,climatology,,,,6.333333333333333
dualtopo,post_covid,QUILMES,100.0,100.0,100.0,0.4902463567968668,0.6653797734912485,0.7454380930067706,6.697607187124399,5.055448991281015,5.861036030751355,25.055201699244993,42.85695034266236,34.12401704589157,8.399701571107975,6.16700992764016,7.347562755528864,level,train,479905,,6.333333333333333
lstm,post_covid,QUILMES,100.0,100.0,100.0,0.5627971537088672,0.5892554578581424,0.7744876135316433,7.7015596772496755,3.906827066097032,5.768394007417199,26.302006068728417,23.84861447468732,25.0521650679905,8.59250885180704,6.248324098958001,7.490539160897367,level,train,22995,,7.333333333333333
seasonal_naive,post_covid,QUILMES,100.0,100.0,100.0,0.3539892997331185,0.6231157261666482,0.6301780213356099,8.70770916445705,4.444039802925547,6.535651187827795,29.41757269049959,29.86397965212361,29.64498755774201,10.5744489894175,6.042386377450995,8.570545161986608,level,none,0,,7.333333333333333
gnn_st,post_covid,SAN ISIDRO,96.15384615384616,100.0,98.0,0.0021565264065621,0.9314901626168368,0.6989712493132627,4.782662960199209,2.8346997747818627,3.847640631198883,593.2085669493893,211.63868917848055,398.1839627553692,6.78998712519996,3.4843440292520396,5.459080020864937,blend,train,15726,,2.0
persistence,post_covid,SAN ISIDRO,76.92307692307693,91.66666666666666,84.0,0.0591922429207955,0.9106856200631962,0.6700958051107874,3.6872526629726865,2.6770316848424502,3.202346593470174,265.5204298625352,126.6804556662742,194.55777638444624,6.900383387384938,3.8896508900013527,5.658803372306672,level,none,0,,3.0
arima,post_covid,SAN ISIDRO,88.46153846153845,91.66666666666666,90.0,-0.1002282616104049,0.9273509477055496,0.5921025571227715,4.115416711709494,3.311740388958522,3.729652076789027,394.2957474638881,124.67401237865596,256.4890828647695,6.759064134958779,4.539796983032278,5.800763410145621,level,none,,,3.0
gat,post_covid,SAN ISIDRO,96.15384615384616,100.0,98.0,0.0386971006570981,0.8630226229952913,0.5485797860798386,4.501849997931948,4.796357234319051,4.6432134713977575,469.1403055296352,384.48140413533815,425.8702003725502,7.143126548342935,5.2302288638144105,6.29786905906393,level,,8129,,5.0
xgboost,post_covid,SAN ISIDRO,80.76923076923077,66.66666666666666,74.0,-0.1745396533602846,0.5419961632138339,0.4659429772750693,4.72002602489061,6.72496261643315,5.682395588831031,505.1270433115544,373.41280269632426,437.8064314415478,6.405384855745638,8.508476910082669,7.488942699488952,climatology,,,,4.0
xgboost_nodemo,post_covid,SAN ISIDRO,100.0,100.0,100.0,-0.2606572514407547,0.5184925421396984,0.4396979489191749,4.9171592166904,7.066531100386371,5.948857720864465,620.4222542636552,427.2721044358192,521.7010665738723,6.907030315200633,9.00553606311885,7.98345298348006,climatology,,,,6.333333333333333
lstm,post_covid,SAN ISIDRO,100.0,100.0,100.0,-0.4281517594018134,0.8554037590050034,0.4269112003496665,7.376580088308084,7.895638168787236,7.625727966938077,936.9230082612278,706.6888819558184,819.247788149574,9.35028849551592,8.719117700938153,9.05282010455452,level,train,22995,,7.0
seasonal_naive,post_covid,SAN ISIDRO,100.0,100.0,100.0,0.2013666637562997,0.3568499224093607,0.440723745255904,2.1735384118575833,9.712999777988577,5.79247986760046,161.57486519328623,611.9750778925477,391.7794183506864,3.5082005675953765,13.862711339815824,9.93195713680822,level,none,0,,6.0
dualtopo,post_covid,SAN ISIDRO,96.15384615384616,100.0,98.0,0.1469000137627707,0.8570812041802869,0.5467492112966121,12.086865241710957,9.780038317044577,10.979588317871094,1404.3472256086068,903.1676828488144,1148.1887926424906,12.974446825005094,10.581461358319372,11.886091719526272,level,train,479905,,8.666666666666666
persistence,post_covid,SAN MIGUEL,96.15384615384616,96.29629629629628,96.22641509433964,0.8873550009677057,0.928427861182611,0.9381918244667552,7.134744921172764,5.24860773921853,6.173882583196081,14.45985210208425,30.26605333934715,22.512067826727613,10.572215888861145,6.510212096686666,8.742007379791797,level,none,0,,1.3333333333333333
gnn_st,post_covid,SAN MIGUEL,96.15384615384616,100.0,98.1132075471698,0.867651182112636,0.936829962510502,0.9340060770172368,8.501178081219013,4.811082769323279,6.621318205347601,15.60798445321282,31.84842989072476,23.88141892137929,12.639228060003076,5.903610260544066,9.804237450935055,blend,train,15726,,1.6666666666666667
xgboost_nodemo,post_covid,SAN MIGUEL,100.0,100.0,100.0,0.69430120738039,0.8834133369920111,0.8423394163277174,13.985583269431856,7.510709559036676,10.687062699985256,28.12639645908152,47.6465845430798,38.07064321885424,16.604259389575663,9.493710120200422,13.45976641743886,climatology,,,,3.3333333333333335
arima,post_covid,SAN MIGUEL,96.15384615384616,100.0,98.1132075471698,0.8653076602908543,0.8863016239348963,0.917361190382417,14.92913388182047,9.116815462873982,11.968141479715657,24.388038555146093,64.42877829552667,44.78615125307582,19.204567231888745,10.227166718329714,15.304003559279504,level,none,,,4.333333333333333
xgboost,post_covid,SAN MIGUEL,100.0,100.0,100.0,0.5167273169941178,0.9005062014696453,0.7848653640066253,17.29945551507371,6.73399739541533,11.917052322040202,29.00343113870261,46.460922334357626,37.89687004969665,21.73688446676308,7.996406328204033,16.259246244238522,climatology,,,,4.333333333333333
lstm,post_covid,SAN MIGUEL,100.0,100.0,100.0,0.7618053079820332,0.927796637726324,0.8891585187943241,16.81819384398702,10.25867002508417,13.476549634357267,25.161128568918866,68.3936761102544,47.185256561674706,23.45150200993904,11.78534629307402,18.45414769825816,level,train,22995,,6.0
gat,post_covid,SAN MIGUEL,80.76923076923077,100.0,90.56603773584906,0.8115744629100968,0.822256392794892,0.8634670843063591,20.61416009756235,10.512953687597204,15.468262492485769,33.928968163040715,62.68785381284516,48.57972122992222,24.90540205183864,12.999490613252185,19.757920672511094,level,,8129,,7.333333333333333
dualtopo,post_covid,SAN MIGUEL,61.53846153846154,92.5925925925926,77.35849056603774,0.775317825982728,0.7400915876241464,0.8479079556935951,18.69696807861328,11.802821865788212,15.184855856985417,28.54627554648345,73.46291527613903,51.42833729555328,24.593630024276433,14.33053132032945,20.03338912725135,level,train,479905,,7.666666666666667
seasonal_naive,post_covid,SAN MIGUEL,96.15384615384616,100.0,98.1132075471698,-0.3196899053220132,-0.1524388084771031,0.1829422618744333,24.994999830403604,13.954989246548845,19.37084349523231,39.40559958733763,80.31081394331912,60.24410501396971,33.796443157198574,17.927232638531,26.908160336938227,level,none,0,,9.0
