model,variant,neighborhood,CI_coverage_flu_season,CI_coverage_off_season,CI_coverage_overall,Corr_flu_season,Corr_off_season,Corr_overall,MAE_flu_season,MAE_off_season,MAE_overall,MAPE_flu_season,MAPE_off_season,MAPE_overall,RMSE_flu_season,RMSE_off_season,RMSE_overall,target_kind,normalize,n_params,git_sha,kg_co2,kwh,runtime_s,mean_rank
xgboost,post_covid,Northland,100.0,100.0,100.0,0.5889830704994851,0.606020948406181,0.7240626650919699,11.982818881838565,7.047703524789379,9.468703511266336,29.51202710498557,27.017151935258287,28.241052961916957,14.463084463432736,8.68953556264847,11.877851499593133,climatology,,,,,,,6.333333333333333
gat,post_covid,Northland,80.76923076923077,88.88888888888889,84.90566037735849,0.5412417648991995,0.59620670990501,0.6984099596272627,11.642262972318209,6.5093929149486405,9.02740464120541,28.415343875111137,37.42841902453738,33.00691046066791,15.189598666762963,7.996558628512433,12.07315378781939,level,,8129,,,,,6.333333333333333
dualtopo,post_covid,Northland,65.38461538461539,77.77777777777779,71.69811320754717,0.5264866453289184,0.3952310808825693,0.6665855661527621,15.049334305983324,8.724840729324907,11.827422483912054,30.635881088559643,49.211873793441505,40.09912265519757,21.12488417367881,10.29424598767484,16.519861989129243,level,train,479905,,,,,8.333333333333334
seasonal_naive,post_covid,Northland,100.0,100.0,100.0,0.2840689845431915,0.551898907025893,0.548682724086593,21.34003420402672,7.074473998420514,14.072673344566956,54.81516287886661,28.84720010669381,41.58620071191066,28.829819921027813,9.012873541619484,21.19246147987901,level,none,0,,,,,8.666666666666666
gnn_st,post_covid,UA/Grandview,96.15384615384616,100.0,98.1132075471698,0.6637498862086615,0.2816362580557991,0.7545668378016825,1.894670449770414,1.2283393056304366,1.55521873483118,29.037073879267023,49.79898643454184,39.21448199459782,2.960295683716282,1.4991514203106155,2.3332235309225338,blend,train,15734,,,,,1.0
gnn_st_v2,post_covid,UA/Grandview,96.15384615384616,100.0,98.1132075471698,0.6599640550712957,0.2816474075331064,0.7522667293945774,1.8998678830953744,1.2308828367127314,1.5590641802211975,29.13190701987759,49.815520602544694,39.27093328589088,2.975732544375581,1.5011849660499978,2.3435000784144315,blend,train,15734,69b537f,,,,2.0
lstm,post_covid,UA/Grandview,96.15384615384616,100.0,98.1132075471698,0.5511303949249066,0.3934315720742896,0.6978171699311965,2.240525685979629,1.0753628128449433,1.646952146835544,36.19504096928271,54.94799202030182,45.38766403350777,3.280602093961734,1.5230115495974428,2.541910347710034,level,train,22353,,,,,3.0
xgboost,post_covid,UA/Grandview,96.15384615384616,100.0,98.1132075471698,0.4053484480378014,0.1990191997155076,0.6249466132987692,2.670838683277654,1.2836366262538903,1.964150842907057,47.88891261405842,65.50716248591762,56.52530961006782,3.639429064148141,1.5755332866426262,2.786096818147081,climatology,,,,,,,4.0
arima,post_covid,UA/Grandview,92.3076923076923,100.0,96.22641509433964,0.4491054647178544,0.2988919127898145,0.5534188619271381,2.3527880946920723,1.4389749725489158,1.8872606551097093,32.21016451992945,76.3306133991693,53.83783553916467,3.8262696905604914,1.7635982559545371,2.960833517250779,level,none,,,,,,5.333333333333333
gat,post_covid,UA/Grandview,92.3076923076923,100.0,96.22641509433964,0.370162434610033,0.1430694432192696,0.5849635851476146,2.8059651393156786,1.6182865390071162,2.2009213240641468,46.460035079912466,79.72817463183662,62.76794662497333,3.811990466314573,1.9121799654452531,2.99854280378162,level,,8129,,,,,5.666666666666667
