"Topic: Age",,,,,,,,
"Geographic Extent: City of Boston",,,,,,,,
"Year(s): 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020, 2024, 2025",,,,,,,,
,,,,,,,,
"Source: U.S. Census Bureau, 1950-2010 Decennial Censuses, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; 2020, 2024, and 2025 City of Boston Planning Department Research Division estimates, 2030 and 2035 Research Division projections",,,,,,,,
"Download type: geographically disaggregated",,,,,,,,
,,,,,,,,
"GEOID","YEAR","0-9 years","10-19 years","20-34 years","35-54 years","55-64 years","65 years and over","Share of population aged 20-34"
"Roslindale","2010","3433","3325","6191","8724","3307","3489","0.217464610629105"
"Roslindale","2020","3231","3110","6646","8068","3851","4767","0.22396953758578"
"Roslindale","2024","2952","2942","6425","7551","3979","5344","0.220087007159251"
"Roslindale","2025","2956","2907","6263","7863","4114","5275","0.213186583808488"
"Roxbury","1950","18659","15139","24409","26499","8985","9061","0.237552553721582"
"Roxbury","1960","16287","10856","14315","16867","6784","8102","0.195530726256983"
"Roxbury","1970","11582","9598","10554","10112","3614","5226","0.208223177997869"
"Roxbury","1980","7144","8959","11542","8375","3598","4010","0.264554873017328"
"Roxbury","1990","7905","6885","11906","10046","3121","4232","0.270007937407869"
"Roxbury","2000","6890","7082","10410","11427","3030","3736","0.244509688784498"
"Roxbury","2010","6398","8350","13050","12463","4652","4439","0.264426973577565"
"Roxbury","2020","6012","8427","16839","12096","5985","6569","0.301081903833022"
"Roxbury","2024","5660","7900","18013","11587","6022","7321","0.31879723200538"
"Roxbury","2025","5694","7959","17386","12167","6075","7519","0.306088509966204"
"South Boston","1950","11603","8217","14252","12313","4691","3902","0.259230965113318"
"South Boston","1960","9088","7161","7819","10494","3966","5019","0.179553126506992"
"South Boston","1970","6516","6944","6711","8315","4248","5411","0.175933936295714"
"South Boston","1980","3201","4669","7270","6169","3801","5016","0.241319790214433"
"South Boston","1990","3161","2806","8907","6818","2869","4548","0.305987838812738"
"South Boston","2000","3082","2808","9136","8159","2362","3960","0.309621445758634"
"South Boston","2010","2567","2372","12938","7792","2931","3185","0.407047349378638"
"South Boston","2020","2753","2227","19814","8172","3268","3659","0.496680477027808"
"South Boston","2024","2504","2129","19410","9540","3240","4250","0.47257322328537"
"South Boston","2025","2459","2097","19600","9255","3296","4197","0.479168398355181"
"South Boston Waterfront","1950","128","108","158","146","69","64","0.234769687964339"
"South Boston Waterfront","1960","77","65","67","99","41","50","0.167919799498747"
"South Boston Waterfront","1970","43","59","45","71","33","37","0.15625"
"South Boston Waterfront","1980","20","26","50","46","23","27","0.260416666666667"
"South Boston Waterfront","1990","26","14","131","75","18","21","0.459649122807018"
"South Boston Waterfront","2000","26","31","160","139","31","44","0.37122969837587"
"South Boston Waterfront","2010","73","65","1031","481","139","100","0.54579142403388"
"South Boston Waterfront","2020","201","166","3011","1742","750","359","0.483316580734948"
"South Boston Waterfront","2024","396","220","3328","2483","1030","741","0.405952671383264"
"South Boston Waterfront","2025","438","197","3405","2615","1062","572","0.410784634845033"
"South End","1950","5488","4144","11013","13319","6041","6313","0.237769333736344"
"South End","1960","3433","2962","5636","8083","4278","4949","0.192086159299274"
"South End","1970","2648","2556","5234","4791","2276","2992","0.25535444211348"
"South End","1980","1985","2520","8405","5147","1873","2407","0.376281506021399"
"South End","1990","1952","2010","9595","6564","1638","2154","0.401246184083971"
"South End","2000","1675","1634","8636","7802","2108","2355","0.35671210243701"
"South End","2010","2143","1592","9412","8225","2904","3081","0.344043572029097"
"South End","2020","2292","1968","11231","8393","4267","4444","0.34456844473598"
"South End","2024","2157","1992","11580","9034","4251","5533","0.335195530726257"
"South End","2025","2145","1971","11985","9077","4141","5263","0.346567408141636"
"West End","1950","2097","1722","3633","3055","1361","1040","0.281453362255965"
"West End","1960","116","210","612","515","260","268","0.308934881373044"
"West End","1970","101","181","1368","737","435","474","0.41504854368932"
"West End","1980","139","220","1843","1031","421","699","0.423386170457156"
"West End","1990","144","75","1531","1092","298","510","0.419452054794521"
"West End","2000","241","159","1744","1452","459","649","0.370748299319728"
"West End","2010","270","280","2286","1389","503","695","0.421537894154527"
"West End","2020","426","526","4082","1891","778","1018","0.468116325359434"
"West End","2024","427","498","3908","2223","768","1415","0.42298950102825"
"West End","2025","409","496","4101","2338","715","1247","0.440683207477856"
"West Roxbury","1950","4342","3656","5373","7848","3070","2777","0.198514741742407"
"West Roxbury","1960","5184","4659","4539","7808","3980","3624","0.152346109955025"
"West Roxbury","1970","5089","5638","5975","7541","4429","5541","0.174641218250373"
"West Roxbury","1980","2597","4083","7703","5978","4060","6912","0.245843040883414"
"West Roxbury","1990","3002","2263","8099","6812","3010","6520","0.272638524203865"
"West Roxbury","2000","3531","2542","5757","8548","2584","5791","0.200222585469342"
"West Roxbury","2010","3845","2944","5346","8899","3935","5476","0.175595335851536"
"West Roxbury","2020","3486","3253","5956","8134","4591","6362","0.187411597193882"
"West Roxbury","2024","2931","2976","5928","7799","4328","7247","0.189945208113044"
"West Roxbury","2025","2947","2947","6000","7797","4427","7263","0.191198495905166"
