"Topic: Number of Small Business Loans",,,,
"Geographic Extent: City of Boston",,,,
"Year(s): 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",,,,
"Note: A business is considered small if it has <$1M in annual revenue.",,,,
"Source: FFIEC, Community Reinvestment Act data, https://github.com/acforrester/community-reinvestment-act; City of Boston Planning Department Research Division analysis",,,,
"Download type: geographically disaggregated",,,,
,,,,
"GEOID","YEAR","Loans to small businesses","Loans to large businesses","Share of small loans going to small businesses"
"Mission Hill","1999","33","49","0.402439024390244"
"Mission Hill","2000","52","73","0.416"
"Mission Hill","2001","73","80","0.477124183006536"
"Mission Hill","2002","56","114","0.329411764705882"
"Mission Hill","2003","60","109","0.355029585798817"
"Mission Hill","2004","57","117","0.327586206896552"
"Mission Hill","2005","95","73","0.56547619047619"
"Mission Hill","2006","105","239","0.305232558139535"
"Mission Hill","2007","108","211","0.338557993730408"
"Mission Hill","2008","62","197","0.239382239382239"
"Mission Hill","2009","18","66","0.214285714285714"
"Mission Hill","2010","23","65","0.261363636363636"
"Mission Hill","2011","37","58","0.389473684210526"
"Mission Hill","2012","40","74","0.350877192982456"
"Mission Hill","2013","68","45","0.601769911504425"
"Mission Hill","2014","66","52","0.559322033898305"
"Mission Hill","2015","59","55","0.517543859649123"
"Mission Hill","2016","62","62","0.5"
"Mission Hill","2017","75","69","0.520833333333333"
"Mission Hill","2018","79","76","0.509677419354839"
"Mission Hill","2019","65","86","0.43046357615894"
"Mission Hill","2020","89","103","0.463541666666667"
"Mission Hill","2021","109","119","0.478070175438596"
"Mission Hill","2022","80","80","0.5"
"Mission Hill","2023","85","65","0.566666666666667"
"Mission Hill","2024","98","92","0.515789473684211"
"North End","1996","151","193","0.438953488372093"
"North End","1997","153","218","0.412398921832884"
"North End","1998","138","172","0.445161290322581"
"North End","1999","148","126","0.54014598540146"
"North End","2000","180","229","0.440097799511002"
"North End","2001","236","352","0.401360544217687"
"North End","2002","173","391","0.306737588652482"
"North End","2003","207","401","0.340460526315789"
"North End","2004","199","428","0.317384370015949"
"North End","2005","238","284","0.455938697318008"
"North End","2006","319","826","0.278602620087336"
"North End","2007","298","768","0.279549718574109"
"North End","2008","190","726","0.207423580786026"
"North End","2009","66","376","0.149321266968326"
"North End","2010","89","310","0.223057644110276"
"North End","2011","178","326","0.353174603174603"
"North End","2012","210","315","0.4"
"North End","2013","211","248","0.459694989106754"
"North End","2014","216","283","0.432865731462926"
"North End","2015","216","287","0.429423459244533"
"North End","2016","269","334","0.446102819237148"
"North End","2017","247","357","0.408940397350993"
"North End","2018","205","385","0.347457627118644"
"North End","2019","223","445","0.333832335329341"
"North End","2020","281","601","0.31859410430839"
"North End","2021","318","545","0.368482039397451"
"North End","2022","166","262","0.38785046728972"
"North End","2023","156","202","0.435754189944134"
"North End","2024","160","227","0.41343669250646"
"Roslindale","1996","38","62","0.38"
"Roslindale","1997","59","66","0.472"
"Roslindale","1998","93","56","0.624161073825503"
"Roslindale","1999","77","123","0.385"
"Roslindale","2000","115","205","0.359375"
"Roslindale","2001","153","207","0.425"
"Roslindale","2002","113","295","0.276960784313726"
"Roslindale","2003","135","283","0.322966507177034"
"Roslindale","2004","140","336","0.294117647058824"
"Roslindale","2005","253","257","0.496078431372549"
"Roslindale","2006","280","589","0.322209436133487"
"Roslindale","2007","333","577","0.365934065934066"
"Roslindale","2008","207","459","0.310810810810811"
"Roslindale","2009","72","211","0.254416961130742"
"Roslindale","2010","55","179","0.235042735042735"
"Roslindale","2011","114","182","0.385135135135135"
"Roslindale","2012","163","224","0.421188630490956"
"Roslindale","2013","168","146","0.535031847133758"
"Roslindale","2014","164","176","0.482352941176471"
"Roslindale","2015","183","151","0.547904191616767"
"Roslindale","2016","197","173","0.532432432432432"
"Roslindale","2017","220","189","0.537897310513447"
"Roslindale","2018","179","226","0.441975308641975"
"Roslindale","2019","219","223","0.495475113122172"
"Roslindale","2020","211","319","0.39811320754717"
"Roslindale","2021","302","297","0.504173622704507"
"Roslindale","2022","278","245","0.531548757170172"
"Roslindale","2023","286","238","0.545801526717557"
"Roslindale","2024","321","278","0.535893155258765"
"Roxbury","1996","63","142","0.307317073170732"
"Roxbury","1997","73","134","0.352657004830918"
"Roxbury","1998","73","133","0.354368932038835"
"Roxbury","1999","91","134","0.404444444444444"
"Roxbury","2000","100","256","0.280898876404494"
"Roxbury","2001","192","331","0.367112810707457"
"Roxbury","2002","117","457","0.20383275261324"
"Roxbury","2003","174","399","0.303664921465969"
"Roxbury","2004","146","403","0.265938069216758"
"Roxbury","2005","200","332","0.37593984962406"
"Roxbury","2006","331","681","0.327075098814229"
"Roxbury","2007","329","626","0.344502617801047"
"Roxbury","2008","135","505","0.2109375"
"Roxbury","2009","51","236","0.177700348432056"
"Roxbury","2010","64","243","0.208469055374593"
"Roxbury","2011","132","263","0.334177215189873"
"Roxbury","2012","156","276","0.361111111111111"
"Roxbury","2013","164","215","0.432717678100264"
"Roxbury","2014","157","244","0.391521197007481"
"Roxbury","2015","212","236","0.473214285714286"
"Roxbury","2016","235","275","0.46078431372549"
"Roxbury","2017","307","353","0.465151515151515"
"Roxbury","2018","236","356","0.398648648648649"
"Roxbury","2019","319","398","0.444909344490934"
"Roxbury","2020","276","538","0.339066339066339"
"Roxbury","2021","397","557","0.416142557651992"
"Roxbury","2022","377","414","0.47661188369153"
"Roxbury","2023","408","339","0.546184738955823"
"Roxbury","2024","487","374","0.565621370499419"
"South Boston","1996","165","309","0.348101265822785"
"South Boston","1997","152","303","0.334065934065934"
"South Boston","1998","179","232","0.435523114355231"
"South Boston","1999","192","231","0.453900709219858"
"South Boston","2000","192","450","0.299065420560748"
"South Boston","2001","292","564","0.341121495327103"
"South Boston","2002","235","684","0.255712731229597"
"South Boston","2003","285","681","0.295031055900621"
"South Boston","2004","261","680","0.277364505844846"
"South Boston","2005","325","491","0.39828431372549"
"South Boston","2006","481","1157","0.293650793650794"
"South Boston","2007","528","1180","0.309133489461358"
"South Boston","2008","293","1021","0.222983257229833"
"South Boston","2009","108","472","0.186206896551724"
"South Boston","2010","112","471","0.192109777015437"
"South Boston","2011","247","475","0.342105263157895"
"South Boston","2012","241","339","0.41551724137931"
"South Boston","2013","283","359","0.440809968847352"
"South Boston","2014","328","406","0.446866485013624"
"South Boston","2015","364","423","0.462515883100381"
"South Boston","2016","369","630","0.369369369369369"
